validatorid,total_sts_amount,total_s_amount,weight
13,0.000000,0.000000,0.0000
14,0.000000,0.000000,0.0000
15,4219023.148179,4432558.074812,16.9340
16,4219023.148179,4432558.074812,16.9340
17,4219023.148179,4432558.074812,16.9340
18,4219023.148179,4432558.074812,16.9340
24,0.000000,0.000000,0.0000
29,0.000000,0.000000,0.0000
30,370364.417864,389109.453390,1.4865
45,7667984.431039,8056079.597952,30.7773
